id,shop_name,product_name,product_code,product_quantity,unit_price,discount,total_price,order_date,payment_due,payment,payment_date,payment_status,late_payment_status,city,province
23,Otnxz,KLENSECT 200 ML X 48,KLE-42,26,3,8,80,9/10/2020,3/24/2021,80,3/21/2023,FALSE,FALSE,Kabupaten Pekalongan,Jawa Tengah
24,Cemiujs,SUPREMO 500 ML X 24,SUP-59,19,10,19,181,3/11/2020,4/4/2021,181,3/30/2023,FALSE,TRUE,Kabupaten Purbalingga,Jawa Tengah
25,Lxmpnke,unused,UNU-64,63,2,12,103,5/22/2020,2/14/2021,103,3/31/2023,FALSE,FALSE,Kabupaten Grobogan,Jawa Tengah
26,Jteshi,unused,UNU-64,17,27,17,444,5/3/2020,4/9/2021,444,3/28/2023,FALSE,TRUE,Kabupaten Pemalang,Jawa Tengah
27,Ychfbg,Anilo 50 Gr X 100,ANI-5,75,49,19,3635,4/1/2020,11/1/2021,3635,3/23/2023,TRUE,TRUE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
28,Tjkwwa,Blasil 100 ml X 100,BLA-13,50,43,13,2122,9/6/2020,9/1/2021,2122,3/22/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
29,Qbjxo,KLENSECT 400 ML X 24,KLE-43,24,36,1,862,5/19/2020,5/23/2021,862,4/2/2023,FALSE,TRUE,Kabupaten Banjarnegara,Jawa Tengah
30,Vnlumtd,Foltus 500 ML X 24,FOL-36,53,8,4,408,6/4/2020,2/18/2021,408,3/23/2023,FALSE,TRUE,Kabupaten Bantul,Daerah Istimewa Yogyakarta
31,Ifxmrr,SUPREMO 500 ML X 24,SUP-59,69,29,7,2013,1/12/2020,4/15/2021,2013,3/25/2023,FALSE,TRUE,Kabupaten Blora,Jawa Tengah
32,Nrvwd,Liberty 250 Gr X 40,LIB-49,93,42,16,3914,2/10/2020,8/27/2021,3914,3/21/2023,FALSE,TRUE,Kabupaten Pemalang,Jawa Tengah
33,Krgska,Spreader 250 ML X 48,SPR-56,33,18,14,587,3/22/2020,4/13/2021,587,3/21/2023,TRUE,FALSE,Kota Salatiga,Jawa Tengah
34,Kyvgk,Dangke 250 Gr X 40,DAN-27,29,32,10,915,1/21/2020,3/27/2021,915,3/26/2023,TRUE,TRUE,Kabupaten Sukoharjo,Jawa Tengah
35,Dkmbh,Custodia 250 ML X 40,CUS-25,60,11,16,667,7/4/2020,12/17/2021,667,3/21/2023,TRUE,TRUE,Kabupaten Sukoharjo,Jawa Tengah
36,Ptfakl,Remazole 400 ml X 20,REM-54,63,3,15,205,6/24/2020,2/7/2021,205,3/23/2023,FALSE,FALSE,Kabupaten Grobogan,Jawa Tengah
37,Vofshdy,Avatar 100 ml X 36,AVA-8,81,19,19,1547,5/29/2020,9/23/2021,1547,3/31/2023,FALSE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
38,Ychfbg,Klensect 900 ML X 20,KLE-44,74,38,19,2822,2/17/2020,1/8/2021,2822,3/21/2023,FALSE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
39,Jwhlxvr,Spreader 250 ML X 48,SPR-56,19,17,9,322,8/13/2020,4/23/2021,322,3/28/2023,FALSE,TRUE,Kabupaten Magelang,Jawa Tengah
40,Riozlo,Astonish 100 ML X 60,AST-6,90,47,2,4231,12/6/2020,1/3/2021,4231,3/27/2023,FALSE,FALSE,Kabupaten Magelang,Jawa Tengah
41,Srwxf,JOKER 400 Gr X 25,JOK-40,58,40,17,2301,12/8/2020,8/2/2021,2301,4/2/2023,TRUE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
42,Xjfklgz,EXPLORE 250 ML X 36,EXP-33,64,25,18,1564,12/17/2020,6/1/2021,1564,3/30/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
43,Gjlnieu,Corona 100 ML X 36,COR-22,76,11,19,841,8/30/2020,8/5/2021,841,3/26/2023,FALSE,FALSE,Kabupaten Semarang,Jawa Tengah
44,Sxeejqj,DUMIL 100 Gr X 100,DUM-31,15,18,8,265,3/14/2020,12/11/2021,265,3/22/2023,FALSE,TRUE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
45,Nkfkpx,YaraMila Unik (50 Kg),YAR-71,27,17,2,463,6/14/2020,2/16/2021,463,3/26/2023,TRUE,FALSE,Kabupaten Boyolali,Jawa Tengah
46,Dojntoc,SUPRETOX 1 L X 20,SUP-60,23,19,10,421,4/9/2020,8/11/2021,421,3/22/2023,TRUE,TRUE,Kabupaten Grobogan,Jawa Tengah
47,Esxczrr,EXPLORE 250 ML X 36,EXP-33,32,32,12,1024,7/21/2020,9/1/2021,1024,3/31/2023,TRUE,FALSE,Kabupaten Cilacap,Jawa Tengah
48,Ychfbg,Chalenger 1L X 20,CHA-17,66,27,18,1763,4/2/2020,7/2/2021,1763,3/26/2023,TRUE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
49,Beolp,Astonish 500 ML X 24,AST-7,90,30,2,2699,5/9/2020,3/11/2021,2699,3/26/2023,FALSE,FALSE,Kabupaten Jepara,Jawa Tengah
50,Ffcsef,JOKER 100 Gr X 50,JOK-39,53,38,5,1992,8/18/2020,3/16/2021,1992,3/31/2023,FALSE,TRUE,Kabupaten Klaten,Jawa Tengah
51,Ejubar,AGIL 100 ML X 100,AGI-1,64,43,19,2733,10/15/2020,8/22/2021,2733,3/30/2023,FALSE,TRUE,Kabupaten Tegal,Jawa Tengah
52,Cfafmw,BLASIL 250 ML X 40,BLA-14,72,13,12,944,9/14/2020,5/10/2021,944,3/22/2023,FALSE,FALSE,Kabupaten Rembang,Jawa Tengah
53,Rmbbag,Tengki Kejora,TEN-63,41,6,6,239,11/21/2020,8/9/2021,239,3/25/2023,TRUE,FALSE,Kabupaten Temanggung,Jawa Tengah
54,Ffcsef,LEILI 100 ML X 60,LEI-46,91,11,16,994,5/14/2020,12/23/2021,994,3/26/2023,TRUE,TRUE,Kabupaten Klaten,Jawa Tengah
55,Dlmkv,LEILI 1 L X 20,LEI-45,83,7,3,601,4/13/2020,11/22/2021,601,3/24/2023,FALSE,TRUE,Kabupaten Semarang,Jawa Tengah
56,Esxczrr,Remazole 250 ml X 40,REM-53,32,36,12,1144,2/20/2020,5/6/2021,1144,3/26/2023,TRUE,FALSE,Kabupaten Cilacap,Jawa Tengah
57,Ldyisp,YaraLiva Tropicote (25 Kg),YAR-67,49,13,12,647,4/30/2020,5/10/2021,647,3/21/2023,TRUE,FALSE,Kabupaten Grobogan,Jawa Tengah
58,Zwfkq,Corona 250 ML X 36,COR-23,87,10,16,850,9/12/2020,11/10/2021,850,3/23/2023,FALSE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
59,Lgnkd,Plethora 250 ML X40,PLE-52,60,33,16,1947,1/28/2020,8/11/2021,1947,4/1/2023,FALSE,FALSE,Kabupaten Grobogan,Jawa Tengah
60,Ysfkjfw,CHLORMITE 400 ML X 24,CHL-20,84,36,1,2990,9/18/2020,9/18/2021,2990,3/30/2023,FALSE,FALSE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
61,Pemfo,LEILI 100 ML X 60,LEI-46,15,20,1,305,12/14/2020,4/5/2021,305,3/21/2023,FALSE,TRUE,Kabupaten Wonogiri,Jawa Tengah
62,Vnlumtd,Remazole 400 ml X 20,REM-54,63,2,1,115,5/28/2020,7/21/2021,115,4/2/2023,TRUE,FALSE,Kabupaten Bantul,Daerah Istimewa Yogyakarta
63,Yronksr,SUPRETOX 500 ML X 24,SUP-61,30,31,19,900,10/5/2020,1/21/2021,900,3/30/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
64,Pmmvkwp,YaraMila Complex X (50Kg),YAR-68,35,11,3,380,10/3/2020,7/15/2021,380,3/29/2023,FALSE,TRUE,Kabupaten Temanggung,Jawa Tengah
65,Gojfeq,CALIWA 350 OD 250 ML X 40,CAL-15,32,39,1,1232,8/30/2020,9/2/2021,1232,3/23/2023,TRUE,FALSE,Kabupaten Kendal,Jawa Tengah
66,Ngcswb,Yara Mila Complex/1 Kg Repacking,YAR-65,47,10,17,435,11/3/2020,6/20/2021,435,3/30/2023,TRUE,TRUE,Kabupaten Sragen,Jawa Tengah
67,Cfafmw,Liberty 500 X 20,LIB-50,96,37,14,3571,5/25/2020,4/25/2021,3571,3/31/2023,TRUE,FALSE,Kabupaten Rembang,Jawa Tengah
68,Aakpwbz,AGIL 250 ML X 40,AGI-2,69,31,1,2135,2/19/2020,4/5/2021,2135,3/26/2023,FALSE,TRUE,Kabupaten Banyumas,Jawa Tengah
69,Xprkjup,Foltus 1L X 20,FOL-35,91,39,1,3533,4/26/2020,4/13/2021,3533,3/26/2023,FALSE,FALSE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
70,Fybcazi,CALIWA 350 OD 500 ML x 20,CAL-16,99,5,15,524,5/19/2020,8/6/2021,524,4/2/2023,FALSE,TRUE,Kabupaten Magelang,Jawa Tengah
71,Vooka,Dangke 250 Gr X 40,DAN-27,10,31,5,305,8/29/2020,2/18/2021,305,3/25/2023,TRUE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
72,Jteshi,AGIL 250 ML X 40,AGI-2,59,34,13,2015,12/1/2020,1/8/2021,2015,3/26/2023,FALSE,FALSE,Kabupaten Pemalang,Jawa Tengah
73,Qhxmkw,Liberty 250 Gr X 40,LIB-49,21,50,18,1031,2/19/2020,8/21/2021,1031,3/24/2023,FALSE,TRUE,Kabupaten Jepara,Jawa Tengah
74,Rroahug,Ricequick 100 Gr X 70,RIC-55,76,22,3,1674,4/20/2020,7/13/2021,1674,3/22/2023,TRUE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
75,Dkmbh,Tengki Kejora,TEN-63,67,2,17,125,11/22/2020,8/24/2021,125,3/24/2023,TRUE,FALSE,Kabupaten Sukoharjo,Jawa Tengah
76,Riozlo,CHLORMITE 100 ML X 120,CHL-18,90,13,14,1181,8/30/2020,12/9/2021,1181,3/23/2023,FALSE,TRUE,Kabupaten Magelang,Jawa Tengah
77,Vofshdy,JOKER 400 Gr X 25,JOK-40,100,49,19,4873,6/23/2020,1/18/2021,4873,3/27/2023,TRUE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
78,Tvaoweb,YaraLiva Tropicote (25 Kg),YAR-67,30,18,19,534,1/3/2020,1/5/2021,534,3/21/2023,FALSE,FALSE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
79,Omqwwab,CHLORMITE 900 ML X 20,CHL-21,83,4,8,353,4/26/2020,10/5/2021,353,3/26/2023,TRUE,FALSE,Kabupaten Grobogan,Jawa Tengah
80,Pzobp,CALIWA 350 OD 500 ML x 20,CAL-16,45,38,13,1697,8/14/2020,10/17/2021,1697,3/24/2023,FALSE,TRUE,Kabupaten Sragen,Jawa Tengah
81,Pmmvkwp,BLASIL 250 ML X 40,BLA-14,29,23,5,651,10/11/2020,5/27/2021,651,3/26/2023,TRUE,TRUE,Kabupaten Temanggung,Jawa Tengah
82,Rroahug,Tengki Kejora,TEN-63,51,16,13,822,10/11/2020,9/23/2021,822,3/26/2023,TRUE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
83,Rmbbag,Yara Mila Complex/1 Kg Repacking,YAR-65,56,50,16,2783,10/28/2020,1/20/2021,2783,3/21/2023,FALSE,FALSE,Kabupaten Temanggung,Jawa Tengah
84,Vrhqv,Foltus 1L X 20,FOL-35,69,22,5,1494,3/3/2020,6/1/2021,1494,4/2/2023,FALSE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
85,Riozlo,AGIL 100 ML X 100,AGI-1,87,41,15,3579,11/14/2020,11/10/2021,3579,3/24/2023,FALSE,FALSE,Kabupaten Magelang,Jawa Tengah
86,Azgcq,Astonish 500 ML X 24,AST-7,83,14,3,1144,5/26/2020,11/5/2021,1144,4/1/2023,TRUE,FALSE,Kabupaten Kendal,Jawa Tengah
87,Vmhgllp,Liberty 500 X 20,LIB-50,34,2,6,50,10/20/2020,7/20/2021,50,3/24/2023,TRUE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
88,Krgska,Astonish 500 ML X 24,AST-7,18,29,5,519,7/9/2020,10/20/2021,519,3/24/2023,TRUE,FALSE,Kota Salatiga,Jawa Tengah
89,Lxmpnke,Dense 500 Gr X 20,DEN-30,71,14,9,1010,12/3/2020,8/12/2021,1010,4/1/2023,TRUE,FALSE,Kabupaten Grobogan,Jawa Tengah
90,Zdkwb,JOKER 400 Gr X 25,JOK-40,94,3,12,237,11/19/2020,11/7/2021,237,4/2/2023,FALSE,FALSE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
91,Yoycwv,Dense 200 Gr X 20,DEN-29,45,1,19,30,7/17/2020,1/30/2021,30,3/21/2023,FALSE,TRUE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
92,Ffcsef,YaraLiva Nitrabor (25 Kg),YAR-66,88,13,14,1149,2/3/2020,6/20/2021,1149,3/24/2023,FALSE,FALSE,Kabupaten Klaten,Jawa Tengah
93,Xcksch,Tapuz 100 Gr X 80,TAP-62,25,3,9,73,10/26/2020,9/14/2021,73,3/21/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
94,Qbjxo,CALIWA 350 OD 250 ML X 40,CAL-15,31,48,6,1490,7/15/2020,12/14/2021,1490,3/28/2023,FALSE,TRUE,Kabupaten Banjarnegara,Jawa Tengah
95,Owgni,LEILI 250 ML X 48,LEI-47,64,48,12,3075,1/23/2020,1/15/2021,3075,3/26/2023,TRUE,TRUE,Kabupaten Rembang,Jawa Tengah
96,Jnpva,Liberty 250 Gr X 40,LIB-49,54,48,2,2567,10/10/2020,12/15/2021,2567,3/23/2023,FALSE,FALSE,Kabupaten Demak,Jawa Tengah
97,Noxszq,DUMIL 400 Gr X 25,DUM-32,36,4,14,137,5/18/2020,7/9/2021,137,4/2/2023,TRUE,FALSE,Kabupaten Magelang,Jawa Tengah
98,Noxszq,YaraMila Winner (50 Kg),YAR-72,32,22,3,686,9/4/2020,1/27/2021,686,3/23/2023,TRUE,FALSE,Kabupaten Magelang,Jawa Tengah
99,Yoycwv,Dense 500 Gr X 20,DEN-30,79,19,7,1503,7/2/2020,3/30/2021,1503,4/2/2023,TRUE,FALSE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
100,Tcjkvdr,Spreader 500 ML X 24,SPR-57,27,26,5,704,3/29/2020,5/3/2021,704,3/27/2023,FALSE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
101,Znmlyx,YaraLiva Nitrabor (25 Kg),YAR-66,68,24,3,1606,10/15/2020,8/17/2021,1606,3/27/2023,FALSE,FALSE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
102,Qlkref,Liberty 1Kg X 20,LIB-48,37,30,14,1089,6/21/2020,7/13/2021,1089,3/25/2023,FALSE,FALSE,Kota Tegal,Jawa Tengah
103,Wdwwe,Anilo 100 Gr x 50,ANI-3,45,44,8,1954,8/18/2020,4/3/2021,1954,3/31/2023,TRUE,TRUE,Kabupaten Bantul,Daerah Istimewa Yogyakarta
104,Aakpwbz,Anilo 50 Gr X 100,ANI-5,27,33,4,882,10/2/2020,8/2/2021,882,3/31/2023,FALSE,FALSE,Kabupaten Banyumas,Jawa Tengah
105,Umrwzu,Astonish 100 ML X 60,AST-6,15,33,5,491,1/17/2020,1/14/2021,491,3/25/2023,TRUE,FALSE,Kota Yogyakarta,Daerah Istimewa Yogyakarta
106,Cmudany,Yara Mila Complex/1 Kg Repacking,YAR-65,47,9,15,406,9/12/2020,7/22/2021,406,3/21/2023,TRUE,FALSE,Kota Pekalongan,Jawa Tengah
107,Bdkcey,Spreader 500 ML X 24,SPR-57,33,13,14,423,12/21/2020,12/28/2021,423,3/22/2023,FALSE,TRUE,Kota Magelang,Jawa Tengah
108,Vaqps,KLENSECT 400 ML X 24,KLE-43,82,22,13,1752,8/23/2020,10/24/2021,1752,3/26/2023,TRUE,TRUE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
109,Acjhvrm,YaraMila Complex X (50Kg),YAR-68,99,7,14,703,8/16/2020,2/23/2021,703,3/23/2023,FALSE,FALSE,Kabupaten Purworejo,Jawa Tengah
110,Yfjro,YaraLiva Nitrabor (25 Kg),YAR-66,23,41,17,933,9/10/2020,6/10/2021,933,3/21/2023,FALSE,TRUE,Kabupaten Bantul,Daerah Istimewa Yogyakarta
111,Zbupp,Remazole 400 ml X 20,REM-54,40,28,12,1091,4/8/2020,7/10/2021,1091,3/25/2023,TRUE,FALSE,Kabupaten Bantul,Daerah Istimewa Yogyakarta
112,Lhrugzu,Anilo 50 Gr X 100,ANI-5,71,26,3,1823,1/6/2020,6/17/2021,1823,3/31/2023,TRUE,FALSE,Kabupaten Sragen,Jawa Tengah
113,Esxczrr,Spreader 250 ML X 48,SPR-56,47,5,10,209,8/21/2020,9/15/2021,209,3/28/2023,FALSE,FALSE,Kabupaten Cilacap,Jawa Tengah
114,Ocpmzbq,Avatar 100 ml X 36,AVA-8,40,8,9,318,2/11/2020,8/31/2021,318,3/24/2023,FALSE,TRUE,Kabupaten Batang,Jawa Tengah
115,Cemiujs,Anilo 50 Gr X 100,ANI-5,75,27,7,2009,10/3/2020,3/12/2021,2009,3/23/2023,FALSE,TRUE,Kabupaten Purbalingga,Jawa Tengah
116,Ozsfyu,Yara Mila Complex/1 Kg Repacking,YAR-65,84,17,0,1412,8/15/2020,6/18/2021,1412,4/1/2023,TRUE,TRUE,Kabupaten Purworejo,Jawa Tengah
117,Wtbgs,Liberty 500 X 20,LIB-50,70,15,12,1036,1/6/2020,9/30/2021,1036,3/30/2023,FALSE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
118,Jltguio,CALIWA 350 OD 500 ML x 20,CAL-16,45,38,1,1729,11/4/2020,2/6/2021,1729,3/31/2023,TRUE,TRUE,Kabupaten Pekalongan,Jawa Tengah
119,Zavxgh,BELLMAC 250 ML X 40,BEL-11,96,39,7,3721,1/2/2020,4/2/2021,3721,3/24/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
120,Mceelv,Liberty 500 X 20,LIB-50,27,50,4,1342,11/19/2020,4/18/2021,1342,3/30/2023,FALSE,FALSE,Kabupaten Sukoharjo,Jawa Tengah
121,Tcjkvdr,Blasil 100 ml X 100,BLA-13,98,21,2,2008,1/23/2020,8/16/2021,2008,3/31/2023,FALSE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
122,Slqvzjy,LEILI 250 ML X 48,LEI-47,61,38,11,2297,11/4/2020,5/9/2021,2297,3/31/2023,TRUE,TRUE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
123,Gizua,YaraMila Unik (50 Kg),YAR-71,47,29,15,1345,7/30/2020,6/13/2021,1345,4/2/2023,TRUE,TRUE,Kabupaten Brebes,Jawa Tengah
124,Hzphnyx,SUPRETOX 500 ML X 24,SUP-61,79,25,8,1993,1/4/2020,8/26/2021,1993,4/1/2023,FALSE,TRUE,Kabupaten Boyolali,Jawa Tengah
125,Csaxcs,Plethora 250 ML X40,PLE-52,33,16,1,540,12/24/2020,2/5/2021,540,3/24/2023,FALSE,TRUE,Kabupaten Rembang,Jawa Tengah
126,Mzmsaie,Foltus 500 ML X 24,FOL-36,67,31,19,2087,8/20/2020,4/5/2021,2087,3/26/2023,TRUE,FALSE,Kabupaten Demak,Jawa Tengah
127,Kxzos,Foltus 1L X 20,FOL-35,62,19,18,1172,3/7/2020,4/7/2021,1172,3/23/2023,TRUE,TRUE,Kabupaten Semarang,Jawa Tengah
128,Mipavxv,Avatar 100 ml X 36,AVA-8,90,1,8,98,9/4/2020,7/18/2021,98,3/22/2023,FALSE,TRUE,Kabupaten Kudus,Jawa Tengah
129,Iuzyshq,unused,UNU-64,46,41,9,1882,2/27/2020,9/6/2021,1882,3/24/2023,FALSE,TRUE,Kabupaten Demak,Jawa Tengah
130,Usiydw,Betanil 500 Gr x 20,BET-12,48,48,5,2296,4/21/2020,11/11/2021,2296,3/24/2023,FALSE,TRUE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
131,Mzlseg,Anilo 400 Gr X 20,ANI-4,19,31,9,582,1/30/2020,9/16/2021,582,3/28/2023,TRUE,FALSE,Kabupaten Wonogiri,Jawa Tengah
132,Hfwdd,Dangke 100 Gr X 100,DAN-26,89,39,14,3429,1/11/2020,2/24/2021,3429,4/1/2023,TRUE,FALSE,Kabupaten Purbalingga,Jawa Tengah
133,Lbsskne,CHLORMITE 400 ML X 24,CHL-20,29,35,14,994,12/27/2020,11/5/2021,994,3/21/2023,TRUE,TRUE,Kota Semarang,Jawa Tengah
134,Vwxqqo,Anilo 400 Gr X 20,ANI-4,87,27,13,2307,4/30/2020,12/23/2021,2307,3/25/2023,FALSE,FALSE,Kabupaten Sleman,Daerah Istimewa Yogyakarta
135,Tjkwwa,LEILI 100 ML X 60,LEI-46,88,31,13,2705,3/20/2020,3/18/2021,2705,3/25/2023,FALSE,TRUE,Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
136,Vnlumtd,CHLORMITE 100 ML X 120,CHL-18,32,6,5,192,3/29/2020,1/7/2021,192,3/26/2023,FALSE,TRUE,Kabupaten Bantul,Daerah Istimewa Yogyakarta
137,Hfwdd,LEILI 100 ML X 60,LEI-46,66,3,3,191,4/24/2020,5/2/2021,191,3/21/2023,FALSE,TRUE,Kabupaten Purbalingga,Jawa Tengah
138,Lgnkd,YaraMila Unik (50 Kg),YAR-71,92,9,9,830,3/11/2020,4/25/2021,830,3/31/2023,FALSE,TRUE,Kabupaten Grobogan,Jawa Tengah
139,Olzcxs,YaraMila Complex X (50Kg),YAR-68,31,37,13,1126,5/27/2020,8/8/2021,1126,3/29/2023,TRUE,FALSE,Kabupaten Demak,Jawa Tengah
140,Qbjxo,Plethora 250 ML X40,PLE-52,29,49,15,1406,12/2/2020,10/4/2021,1406,3/22/2023,FALSE,TRUE,Kabupaten Banjarnegara,Jawa Tengah
141,Oksxae,Custodia 250 ML X 40,CUS-25,65,39,4,2506,12/6/2020,8/25/2021,2506,3/28/2023,TRUE,TRUE,Kabupaten Tegal,Jawa Tengah
142,Ntnhsop,YaraMila Winner (50 Kg),YAR-72,94,39,10,3680,3/10/2020,10/4/2021,3680,3/29/2023,FALSE,FALSE,Kabupaten Purworejo,Jawa Tengah
143,Zbupp,Tapuz 100 Gr X 80,TAP-62,31,44,6,1347,5/6/2020,3/23/2021,1347,3/23/2023,FALSE,FALSE,Kabupaten Bantul,Daerah Istimewa Yogyakarta
144,Zkxgosa,CHLORMITE 900 ML X 20,CHL-21,84,46,12,3846,9/29/2020,4/2/2021,3846,3/24/2023,TRUE,FALSE,Kabupaten Gunungkidul,Daerah Istimewa Yogyakarta
145,Nrvwd,LEILI 100 ML X 60,LEI-46,92,26,14,2384,3/10/2020,7/3/2021,2384,4/1/2023,FALSE,TRUE,Kabupaten Pemalang,Jawa Tengah
146,Azgcq,Klensect 900 ML X 20,KLE-44,60,17,11,1029,9/19/2020,5/14/2021,1029,4/1/2023,FALSE,FALSE,Kabupaten Kendal,Jawa Tengah
